Destination,Destino,Origin,Origen,Sex,Sexo,Year,Value
Anguilla,Anguila,Canada,Canadá,Both sexes combined,Ambos sexos combinados,1990,28
Anguilla,Anguila,Dominican Republic,República Dominicana,Both sexes combined,Ambos sexos combinados,1990,308
Anguilla,Anguila,Guyana,Guyana,Both sexes combined,Ambos sexos combinados,1990,181
Anguilla,Anguila,Jamaica,Jamaica,Both sexes combined,Ambos sexos combinados,1990,220
Anguilla,Anguila,Montserrat,Montserrat,Both sexes combined,Ambos sexos combinados,1990,135
Anguilla,Anguila,Saint Kitts and Nevis,Saint Kitts y Nevis,Both sexes combined,Ambos sexos combinados,1990,426
Anguilla,Anguila,United Kingdom,Reino Unido de Gran Bretaña e Irlanda del Norte,Both sexes combined,Ambos sexos combinados,1990,197
Anguilla,Anguila,United States of America,Estados Unidos de América,Both sexes combined,Ambos sexos combinados,1990,215
Anguilla,Anguila,United States Virgin Islands,Islas Vírgenes Estadounidenses,Both sexes combined,Ambos sexos combinados,1990,192
Anguilla,Anguila,Other,Otros,Both sexes combined,Ambos sexos combinados,1990,668
Antigua and Barbuda,Antigua y Barbuda,Australia,Australia,Both sexes combined,Ambos sexos combinados,1990,7
Antigua and Barbuda,Antigua y Barbuda,Bahamas,Bahamas,Both sexes combined,Ambos sexos combinados,1990,5
Antigua and Barbuda,Antigua y Barbuda,Barbados,Barbados,Both sexes combined,Ambos sexos combinados,1990,204
Antigua and Barbuda,Antigua y Barbuda,Bermuda,Bermuda,Both sexes combined,Ambos sexos combinados,1990,9
Antigua and Barbuda,Antigua y Barbuda,Belize,Belice,Both sexes combined,Ambos sexos combinados,1990,8
Antigua and Barbuda,Antigua y Barbuda,British Virgin Islands,Islas Vírgenes Británicas,Both sexes combined,Ambos sexos combinados,1990,66
Antigua and Barbuda,Antigua y Barbuda,Canada,Canadá,Both sexes combined,Ambos sexos combinados,1990,218
Antigua and Barbuda,Antigua y Barbuda,China,China,Both sexes combined,Ambos sexos combinados,1990,57
Antigua and Barbuda,Antigua y Barbuda,Cuba,Cuba,Both sexes combined,Ambos sexos combinados,1990,12
Antigua and Barbuda,Antigua y Barbuda,Dominica,Dominica,Both sexes combined,Ambos sexos combinados,1990,2442
Antigua and Barbuda,Antigua y Barbuda,Dominican Republic,República Dominicana,Both sexes combined,Ambos sexos combinados,1990,621
Antigua and Barbuda,Antigua y Barbuda,Ethiopia,Etiopía,Both sexes combined,Ambos sexos combinados,1990,1
Antigua and Barbuda,Antigua y Barbuda,France,Francia,Both sexes combined,Ambos sexos combinados,1990,32
Antigua and Barbuda,Antigua y Barbuda,French Guiana,Guyana Francesa,Both sexes combined,Ambos sexos combinados,1990,4
Antigua and Barbuda,Antigua y Barbuda,Germany,Alemania,Both sexes combined,Ambos sexos combinados,1990,45
Antigua and Barbuda,Antigua y Barbuda,Ghana,Ghana,Both sexes combined,Ambos sexos combinados,1990,10
Antigua and Barbuda,Antigua y Barbuda,Grenada,Granada,Both sexes combined,Ambos sexos combinados,1990,115
Antigua and Barbuda,Antigua y Barbuda,Guadeloupe,Guadalupe,Both sexes combined,Ambos sexos combinados,1990,46
Antigua and Barbuda,Antigua y Barbuda,Guyana,Guyana,Both sexes combined,Ambos sexos combinados,1990,1660
Antigua and Barbuda,Antigua y Barbuda,Haiti,Haití,Both sexes combined,Ambos sexos combinados,1990,11
Antigua and Barbuda,Antigua y Barbuda,Honduras,Honduras,Both sexes combined,Ambos sexos combinados,1990,3
Antigua and Barbuda,Antigua y Barbuda,India,India,Both sexes combined,Ambos sexos combinados,1990,32
Antigua and Barbuda,Antigua y Barbuda,Italy,Italia,Both sexes combined,Ambos sexos combinados,1990,49
Antigua and Barbuda,Antigua y Barbuda,Jamaica,Jamaica,Both sexes combined,Ambos sexos combinados,1990,386
Antigua and Barbuda,Antigua y Barbuda,Japan,Japón,Both sexes combined,Ambos sexos combinados,1990,2
Antigua and Barbuda,Antigua y Barbuda,Lebanon,Líbano,Both sexes combined,Ambos sexos combinados,1990,46
